,Text,Lemma,POS,Tag,Dep,Shape,Is_Alpha,Is_Stop
0,46,46,NUM,NUM,nummod,dd,False,False
1,Pascal,pascal,NOUN,NOUN,ROOT,Xxxxx,True,False
2,Attinger,Attinger,X,X,nummod,Xxxxx,True,False
3,tablets,tablet,NOUN,NOUN,ROOT,xxxx,True,False
4,in,in,X,X,amod,xx,True,False
5,the,the,X,X,amod,xxx,True,False
6,collections,collecter,VERB,VERB,acl,xxxx,True,False
7,of,of,X,X,case,xx,True,False
8,the,the,X,X,parataxis,xxx,True,False
9,Oriental,Oriental,PROPN,PROPN,obj,Xxxxx,True,False
10,Institute,Institute,PROPN,PROPN,flat:name,Xxxxx,True,False
11,",",",",PUNCT,PUNCT,punct,",",False,False
12,Univ,Univ,PROPN,PROPN,obl:mod,Xxxx,True,False
13,.,.,PUNCT,PUNCT,punct,.,False,False
14,of,of,ADP,ADP,dep,xx,True,False
15,Chicago,Chicago,PROPN,PROPN,ROOT,Xxxxx,True,False
16,  ,  ,SPACE,SPACE,dep,  ,False,False
17,propos,propos,NOUN,NOUN,nmod,xxxx,True,False
18,de,de,ADP,ADP,case,xx,True,True
19,AK,ak,NOUN,NOUN,nmod,XX,True,False
20,«,«,NUM,NUM,punct,«,False,False
21,faire»1,faire»1,NOUN,NOUN,nmod,xxxx»d,False,False
22,(,(,PUNCT,PUNCT,punct,(,False,False
23,I,i,NOUN,NOUN,appos,X,True,True
24,),),PUNCT,PUNCT,punct,),False,False
25,par,par,ADP,ADP,case,xxx,True,True
26,Pascal,Pascal,PROPN,PROPN,nmod,Xxxxx,True,False
27,Attinger,Attinger,PROPN,PROPN,dep,Xxxxx,True,False
28,–,–,NOUN,NOUN,nmod,–,False,False
29,Berne,Berne,PROPN,PROPN,flat:name,Xxxxx,True,False
30,Ces,ce,DET,DET,det,Xxx,True,True
31,pages,page,NOUN,NOUN,nsubj:pass,xxxx,True,False
32,sont,être,AUX,AUX,aux:pass,xxxx,True,True
33,consacrées,consacrer,VERB,VERB,ROOT,xxxx,True,False
34,à,à,ADP,ADP,case,x,True,True
35,une,un,DET,DET,det,xxx,True,True
36,étude,étude,NOUN,NOUN,obl:arg,xxxx,True,False
37,de,de,ADP,ADP,case,xx,True,True
