id,provenience,ancient_name,modern_name,total_occurences
2,Sippar-Amnanum (mod. Tell ed-Der),Sippar-Amnanum,Tell ed-Der,0
290,Dur-Šarrukin (mod. Khorsabad),Dur-Šarrukin,Khorsabad,0
287,Alu-eššu (mod. uncertain),Alu-eššu,uncertain,0
286,Anšan (mod. Tell Malyan),Anšan,Tell Malyan,0
285,uncertain (mod. Tepe Gawra),uncertain,Tepe Gawra,0
284,uncertain (mod. Ghazir),uncertain,Ghazir,0
283,uncertain (mod. Ortaköy),uncertain,Ortaköy,0
282,uncertain (mod. Samarra),uncertain,Samarra,0
281,Hursagkalama (mod. Ingharra),Hursagkalama,Ingharra,0
280,uncertain (mod. Shadad),uncertain,Shadad,0
279,Nineveh (mod. Kuyunjik),Nineveh,Kuyunjik,0
278,uncertain (mod. Umm Chatil),uncertain,Umm Chatil,0
277,uncertain (mod. Dawali),uncertain,Dawali,0
276,Harradum (mod. Khirbet ed-Diniye),Harradum,Khirbet ed-Diniye,0
275,Imgur-Enlil (mod. Balawat),Imgur-Enlil,Balawat,0
274,Ḫadiranu-ša-Nabu (mod. uncertain),Ḫadiranu-ša-Nabu,uncertain,0
273,uncertain (mod. Negub tunnel),uncertain,Negub tunnel,0
272,uncertain (mod. Megiddo),uncertain,Megiddo,0
271,uncertain (mod. Zawiyya),uncertain,Zawiyya,0
270,Karkemish (mod. Djerabis),Karkemish,Djerabis,0
269,Bit-šar-Babili (mod. uncertain),Bit-šar-Babili,uncertain,0
289,Šubat-Enlil (mod. Leilan),Šubat-Enlil,Leilan,0
291,Kanesh (mod. Kültepe),Kanesh,Kültepe,0
267,Alu-binatu (mod. uncertain),Alu-binatu,uncertain,0
292,uncertain (mod. Nahr el-Kelb),uncertain,Nahr el-Kelb,0
314,Kisurra (mod. Abu Hatab),Kisurra,Abu Hatab,0
313,uncertain (mod. Nar-Madanu),uncertain,Nar-Madanu,0
312,uncertain (mod. Tell en-Nasbeh),uncertain,Tell en-Nasbeh,0
310,uncertain (mod. Aşağı Yarımca),uncertain,Aşağı Yarımca,0
309,uncertain (mod. Shahr-i Sokhta),uncertain,Shahr-i Sokhta,0
308,uncertain (mod. Saba'a),uncertain,Saba'a,0
307,uncertain (mod. Sepphoris),uncertain,Sepphoris,0
306,uncertain (mod. uncertain),uncertain,uncertain,0
304,Til Barsip (mod. Tell Ahmar),Til Barsip,Tell Ahmar,0
303,Isin (mod. Bahriyat),Isin,Bahriyat,0
302,Kilizu (mod. Qasr Shamamuk),Kilizu,Qasr Shamamuk,0
301,uncertain (mod. Išān Hāfudh),uncertain,Išān Hāfudh,0
300,Kahat (mod. Tell Barri),Kahat,Tell Barri,0
