,identifier,word
0,1.0.0,ISSN
1,1.0.1,1345-7829
2,1.0.2,Anatolian
3,1.0.3,Archaeological
4,1.0.4,Studies
5,1.0.5,Vol.
6,1.0.6,XT
7,1.0.7,KAMAN-KALEHOYUK
8,1.0.8,11
9,1.0.9,JAPANESE
10,1.0.10,INSTITUTE
11,1.0.11,OF
12,1.0.12,ANATOLIAN
13,1.0.13,ARCHAEOLOGY
14,1.0.14,THE
15,1.0.15,MIDDLE
16,1.0.16,EASTERN
17,1.0.17,CULTURE
18,1.0.18,CENTER
19,1.0.19,IN
20,1.0.20,JAPAN
21,1.0.21,2002
22,1.1.0,IRON
23,1.1.1,OBJECTS
24,1.1.2,FROM
25,1.1.3,THE
26,1.1.4,ARCHITECTURAL
27,1.1.5,REMAINS
28,1.1.6,OF
29,1.1.7,STRATUM
30,1.1.8,III
31,1.1.9,AND
32,1.1.10,STRATUM
33,1.1.11,II
34,1.1.12,AT
35,1.1.13,KAMAN-KALEHOYUK:
36,1.1.14,CORRELATION
37,1.1.15,BETWEEN
38,1.1.16,COMPOSITION
39,1.1.17,AND
40,1.1.18,ARCHAEOLOGICAL
41,1.1.19,LEVELS
42,1.1.20,Hideo
43,1.1.21,AKANUMA
44,1.1.22,1
45,1.1.23,INTRODUCTION
46,1.1.24,During
47,1.1.25,excavations
48,1.1.26,from
49,1.1.27,1986
50,1.1.28,to
51,1.1.29,2001
52,1.1.30,at
53,1.1.31,the
54,1.1.32,site
55,1.1.33,of
56,1.1.34,Kaman-Kalehdyiik
57,1.1.35,in
58,1.1.36,central
59,1.1.37,"Anatolia,"
60,1.1.38,"Turkey,"
61,1.1.39,many
62,1.1.40,iron
63,1.1.41,objects
64,1.1.42,have
65,1.1.43,been
66,1.1.44,found.
67,1.1.45,Archaeological
68,1.1.46,and
69,1.1.47,archaeometallurgical
70,1.1.48,analysis
71,1.1.49,have
72,1.1.50,revealed
73,1.1.51,that
74,1.1.52,iron
75,1.1.53,use
76,1.1.54,at
77,1.1.55,the
78,1.1.56,site
79,1.1.57,began
80,1.1.58,in
81,1.1.59,the
82,1.1.60,cultural
83,1.1.61,age
84,1.1.62,of
85,1.1.63,Stratum
86,1.1.64,"IIIc,"
87,1.1.65,in
88,1.1.66,the
89,1.1.67,Assyrian
90,1.1.68,Colony
91,1.1.69,Period'
92,1.1.70,(Akanuma
93,1.1.71,"1997),"
94,1.1.72,and
95,1.1.73,that
96,1.1.74,steel
97,1.1.75,production
98,1.1.76,and
99,1.1.77,the
100,1.1.78,manufacture
101,1.1.79,of
102,1.1.80,iron
103,1.1.81,artifacts
104,1.1.82,were
105,1.1.83,probably
106,1.1.84,carried
107,1.1.85,out
108,1.1.86,during
109,1.1.87,the
110,1.1.88,Hittite
111,1.1.89,Empire
112,1.1.90,Period
113,1.1.91,there
114,1.1.92,(Akanuma
115,1.1.93,1995).
116,1.1.94,A
117,1.1.95,progressive
118,1.1.96,increase
119,1.1.97,in
120,1.1.98,the
121,1.1.99,deposits
122,1.1.100,of
123,1.1.101,iron
124,1.1.102,"artifacts,"
125,1.1.103,"lumps,"
126,1.1.104,and
127,1.1.105,slag
128,1.1.106,was
129,1.1.107,seen
130,1.1.108,in
131,1.1.109,the
132,1.1.110,excavation
133,1.1.111,layers
134,1.1.112,of
135,1.1.113,Stratum
136,1.1.114,I]
137,1.1.115,(Akanuma
138,1.1.116,1999).
139,1.1.117,This
140,1.1.118,"progression,"
141,1.1.119,which
142,1.1.120,becomes
143,1.1.121,more
144,1.1.122,evident
145,1.1.123,when
146,1.1.124,the
147,1.1.125,large
148,1.1.126,iron
149,1.1.127,artifacts
150,1.1.128,found
151,1.1.129,in
152,1.1.130,Stratum
153,1.1.131,Ia
154,1.1.132,(Omura
155,1.1.133,1998)°
156,1.1.134,are
157,1.1.135,"included,"
158,1.1.136,indicates
159,1.1.137,that
160,1.1.138,iron
161,1.1.139,or
162,1.1.140,steel
163,1.1.141,making
164,1.1.142,and
165,1.1.143,the
166,1.1.144,manufacturing
167,1.1.145,of
168,1.1.146,iron
169,1.1.147,artifacts
170,1.1.148,underwent
171,1.1.149,development
172,1.1.150,in
173,1.1.151,the
174,1.1.152,period
175,1.1.153,of
176,1.1.154,Stratum
177,1.1.155,II.
178,1.1.156,Archaeometallurgical
179,1.1.157,analysis
180,1.1.158,has
181,1.1.159,also
182,1.1.160,indicated
183,1.1.161,that
184,1.1.162,the
185,1.1.163,composition
186,1.1.164,of
187,1.1.165,iron
188,1.1.166,lumps
189,1.1.167,and
190,1.1.168,iron
191,1.1.169,artifacts
192,1.1.170,from
193,1.1.171,Stratum
194,1.1.172,II
195,1.1.173,differs
196,1.1.174,according
197,1.1.175,to
198,1.1.176,archaeological
199,1.1.177,provenience
200,1.1.178,level
201,1.1.179,(date)
202,1.1.180,(Akanuma
203,1.1.181,"2000,"
204,1.1.182,2001).
205,1.1.183,One
206,1.1.184,can
207,1.1.185,possibly
208,1.1.186,conclude
209,1.1.187,that
210,1.1.188,the
211,1.1.189,distribution
212,1.1.190,system
213,1.1.191,of
214,1.1.192,iron
215,1.1.193,"""At"
216,1.1.194,Kaman-Kalehdyik
217,1.1.195,in
218,1.1.196,central
219,1.1.197,"Anatolia,"
220,1.1.198,"Turkey,"
221,1.1.199,the
222,1.1.200,following
223,1.1.201,four
224,1.1.202,cultural
225,1.1.203,strata
226,1.1.204,have
227,1.1.205,been
228,1.1.206,examined:
229,1.1.207,Stratum
230,1.1.208,"I,"
231,1.1.209,Ottoman
232,1.1.210,Period
233,1.1.211,(16th
234,1.1.212,to
235,1.1.213,17th
236,1.1.214,centuries
237,1.1.215,A.D.);
238,1.1.216,Stratum
239,1.1.217,"II,"
240,1.1.218,the
241,1.1.219,Iron
242,1.1.220,Age
243,1.1.221,(end
244,1.1.222,of
245,1.1.223,the
246,1.1.224,second
247,1.1.225,millennium
248,1.1.226,to
249,1.1.227,the
250,1.1.228,second
251,1.1.229,half
252,1.1.230,of
253,1.1.231,the
254,1.1.232,first
255,1.1.233,millennium
256,1.1.234,B.C.);
257,1.1.235,Stratum
258,1.1.236,"III,"
259,1.1.237,Middle
260,1.1.238,to
261,1.1.239,Late
262,1.1.240,Bronze
263,1.1.241,Ages
264,1.1.242,(the
265,1.1.243,second
266,1.1.244,millennium
267,1.1.245,B.C);
268,1.1.246,and
269,1.1.247,Stratum
270,1.1.248,"IV,"
271,1.1.249,Early
272,1.1.250,Bronze
273,1.1.251,Age
274,1.1.252,(the
275,1.1.253,third
276,1.1.254,millennium
277,1.1.255,B.C.)
